Device,Location,VLAN,Department,IP Address,Subnet Mask,Default Gateway,IP Type
Router A - Fa0/0.10,HQ,10,Admin,192.168.1.1,255.255.255.0,N/A,Static
Router A - Fa0/0.20,HQ,20,IT,192.168.2.1,255.255.255.0,N/A,Static
Router A - Fa0/0.30,HQ,30,Sales,192.168.3.1,255.255.255.0,N/A,Static
Router A - Fa0/0.100,HQ,100,Servers,192.168.10.1,255.255.255.0,N/A,Static
Router A - WAN,HQ,N/A,WAN,192.168.200.1,255.255.255.252,N/A,Static
Router B - Fa0/0.40,Branch,40,Support,192.168.4.1,255.255.255.0,N/A,Static
Router B - Fa0/0.50,Branch,50,Operations,192.168.5.1,255.255.255.0,N/A,Static
Router B - WAN,Branch,N/A,WAN,192.168.200.2,255.255.255.252,N/A,Static
DHCP Server,HQ,100,Servers,192.168.10.2,255.255.255.0,192.168.10.1,Static
DNS Server,HQ,100,Servers,192.168.10.3,255.255.255.0,192.168.10.1,Static
FTP Server,HQ,100,Servers,192.168.10.4,255.255.255.0,192.168.10.1,Static
Web Server,HQ,100,Servers,192.168.10.5,255.255.255.0,192.168.10.1,Static
PC0,HQ,10,Admin,192.168.1.10,255.255.255.0,192.168.1.1,DHCP
PC1,HQ,10,Admin,192.168.1.11,255.255.255.0,192.168.1.1,DHCP
PC2,HQ,10,Admin,192.168.1.12,255.255.255.0,192.168.1.1,DHCP
PC19,HQ,10,Admin,192.168.1.13,255.255.255.0,192.168.1.1,DHCP
PC3,HQ,20,IT,192.168.2.10,255.255.255.0,192.168.2.1,DHCP
PC4,HQ,20,IT,192.168.2.11,255.255.255.0,192.168.2.1,DHCP
PC5,HQ,20,IT,192.168.2.12,255.255.255.0,192.168.2.1,DHCP
PC20,HQ,20,IT,192.168.2.13,255.255.255.0,192.168.2.1,DHCP
PC6,HQ,30,Sales,192.168.3.10,255.255.255.0,192.168.3.1,DHCP
PC7,HQ,30,Sales,192.168.3.11,255.255.255.0,192.168.3.1,DHCP
PC8,HQ,30,Sales,192.168.3.12,255.255.255.0,192.168.3.1,DHCP
PC18,HQ,30,Sales,192.168.3.13,255.255.255.0,192.168.3.1,DHCP
PC12,Branch,40,Support,192.168.4.10,255.255.255.0,192.168.4.1,DHCP
PC13,Branch,40,Support,192.168.4.11,255.255.255.0,192.168.4.1,DHCP
PC15,Branch,40,Support,192.168.4.12,255.255.255.0,192.168.4.1,DHCP
PC16,Branch,40,Support,192.168.4.13,255.255.255.0,192.168.4.1,DHCP
PC9,Branch,50,Operations,192.168.5.10,255.255.255.0,192.168.5.1,DHCP
PC10,Branch,50,Operations,192.168.5.11,255.255.255.0,192.168.5.1,DHCP
PC11,Branch,50,Operations,192.168.5.12,255.255.255.0,192.168.5.1,DHCP
PC17,Branch,50,Operations,192.168.5.13,255.255.255.0,192.168.5.1,DHCP
